name,elevation_ft,iso_country,iso_region,continent
Twin Oaks Airport,955.0,US,US-MO,
Williams Field,345.0,US,US-MS,
Matovich Airport,3450.0,US,US-MT,
Keller Brothers Airport,550.0,US,US-PA,
Whiteheart Farm Airport,750.0,US,US-NC,
Brecht Strip,1990.0,US,US-ND,
Laurel Municipal Airport,1467.0,US,US-NE,
Memorial Hospital Heliport,574.0,US,US-NH,
St Barnabas Medical Center Heliport,429.0,US,US-NJ,
Bell Mountain Airport,2150.0,US,US-NC,
Md1 Airport,650.0,US,US-NY,
Kenley Airport,1230.0,US,US-OH,
Parks Airport,635.0,US,US-OK,
Broken B Airport,1518.0,US,US-OK,
Saxon Sycan Airport,4990.0,US,US-OR,
Pocono Raceway Heliport,1812.0,US,US-PA,
Thomson Heliport,310.0,US,US-PA,
Richmond Airport,130.0,US,US-RI,
Douglas County Memorial Hospital Heliport,1523.0,US,US-SD,
Rancho Del Lago Heliport,1208.0,US,US-TX,
B J McCombs Sisterdale Airport,1447.0,US,US-TX,
PTC Airport,820.0,US,US-TN,
Puesta Del Sol Airport,420.0,US,US-TX,
LZ Tango Charlie Airport,2054.0,US,US-TX,
Cross Wind Airport,1040.0,US,US-TX,
Stevens-Crosby Airport,6397.0,US,US-NV,
Springwood Airstrip,1000.0,US,US-VA,
Manchester Laboratory Heliport,2.0,US,US-WA,
Pierick Airport,1225.0,US,US-WI,
